City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
3,Castro,BR,53.58,few clouds,-24.79,-50.01,CHACARA BAILLY
4,Mar del Plata,AR,48.09,fog,-38.0,-57.56,Gran Hotel Mar del Plata
7,Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,Albatross Hotel
9,Longyearbyen,SJ,44.44,scattered clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
11,Nanortalik,GL,43.34,overcast clouds,60.14,-45.24,Hotel Kap Farvel
14,Verkhnetulomskiy,RU,44.73,moderate rain,68.61,31.8,Отель Уют
17,Visby,SE,53.82,few clouds,57.64,18.3,Best Western Solhem Hotel Visby
19,Rio Grande,BR,59.95,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
20,Punta Arenas,CL,44.71,broken clouds,-53.15,-70.92,Hotel Hain
21,Saint-François,FR,57.67,overcast clouds,46.42,3.91,Manoir Du Bonheur
24,Bariloche,AR,40.75,moderate rain,-41.15,-71.31,Hotel Patagonia
28,Busselton,AU,58.06,overcast clouds,-33.65,115.33,Observatory Guest House
29,Port Elizabeth,ZA,55.38,clear sky,-33.92,25.57,39 On Nile Guest House
31,Narsaq,GL,52.02,overcast clouds,60.92,-46.05,Sleep In Narsaq
32,Port Alfred,ZA,53.19,clear sky,-33.59,26.89,The Halyards Hotel
33,Chapais,CA,51.58,overcast clouds,49.78,-74.85,Hôtel Opémiska
39,Río Gallegos,AR,42.91,broken clouds,-51.62,-69.22,Hotel Santa Cruz
46,Iqaluit,CA,42.53,clear sky,63.75,-68.51,Frobisher Inn
51,Chernyakhovsk,RU,50.41,scattered clouds,54.63,21.82,"Hotel ""Georgenburg"""
56,Rocha,UY,49.64,overcast clouds,-34.48,-54.33,Hotel Arrarte
58,Hofn,IS,52.77,overcast clouds,64.25,-15.21,Hótel Höfn
60,Plettenberg Bay,ZA,59.45,clear sky,-34.05,23.37,Thanda Vista B&B
67,Codrington,AU,52.02,broken clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
70,Willowmore,ZA,48.76,clear sky,-33.29,23.49,Jumper's Place
73,Qaqortoq,GL,43.3,overcast clouds,60.72,-46.03,Siniffik Inn
76,Vestmannaeyjar,IS,48.33,overcast clouds,63.44,-20.27,Glamping & Camping
82,Joensuu,FI,45.09,clear sky,62.6,29.76,Original Sokos Hotel Kimmel
85,Torbay,CA,48.27,broken clouds,47.67,-52.73,Gallows Cove
87,Husavik,IS,40.26,clear sky,66.04,-17.34,Bjarnabúð
94,Chui,UY,55.42,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
99,Vallenar,CL,53.69,few clouds,-28.57,-70.76,Humacao Bed & Breakfast
101,Derzhavīnsk,KZ,57.29,scattered clouds,51.1,66.32,Ooo.khim Baza
103,Arrondissement de Saint-Denis,FR,59.11,clear sky,48.92,2.33,B&B Hotel Paris Saint-Denis Pleyel
106,Brae,GB,48.7,scattered clouds,60.4,-1.35,Busta House Hotel
107,Rawson,AR,50.74,overcast clouds,-43.3,-65.1,Hosteria Sampedro
110,Sortland,NO,42.76,overcast clouds,68.69,15.42,Sortland Hotel
118,Rovenki,UA,56.39,clear sky,48.08,39.38,"Гостиница ""Идиллия"""
119,Ilulissat,GL,41.02,clear sky,69.22,-51.1,Hotel Arctic
127,Klaksvík,FO,50.92,overcast clouds,62.23,-6.59,Airbnb rooms
128,Zárate,AR,46.83,scattered clouds,-34.1,-59.03,Departamento céntrico 2 ambientes 45 mt2 en Zárate
130,Arrondissement de Thiers,FR,55.72,broken clouds,45.83,3.5,Hôtel Eliotel
134,Serebryansk,KZ,47.39,broken clouds,49.69,83.29,"Gostinitsa ""Vodoley"""
135,Severnyy,RU,53.64,clear sky,50.68,36.55,Full House North Mini-Hotel
