,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gumdag,TM,39.21,54.59,82.62,11,36,14.92,scattered clouds
1,Jamestown,US,42.10,-79.24,60.44,42,100,4.61,overcast clouds
2,Saint-Philippe,RE,-21.36,55.77,71.19,66,55,7.25,broken clouds
3,Castro,BR,-24.79,-50.01,53.58,91,16,3.42,few clouds
4,Mar del Plata,AR,-38.00,-57.56,48.09,90,100,5.75,fog
5,Los Llanos de Aridane,ES,28.66,-17.92,65.95,79,40,14.97,scattered clouds
6,Hamilton,US,39.18,-84.53,75.56,62,0,9.22,clear sky
7,Ushuaia,AR,-54.80,-68.30,47.86,49,75,17.27,broken clouds
8,Jaraguá,BR,-15.76,-49.33,66.58,58,0,5.06,clear sky
9,Longyearbyen,SJ,78.22,15.64,44.44,87,40,3.44,scattered clouds
10,Hermanus,ZA,-34.42,19.23,62.02,49,11,7.2,few clouds
11,Nanortalik,GL,60.14,-45.24,43.34,78,100,4.16,overcast clouds
12,Gamba,GA,-2.65,10.00,71.83,96,99,2.08,overcast clouds
13,Maragogi,BR,-9.01,-35.22,73.31,89,21,4.16,few clouds
14,Verkhnetulomskiy,RU,68.61,31.80,44.73,92,100,5.03,moderate rain
15,Mahon,ES,39.89,4.27,66.76,94,0,3.44,clear sky
16,Camacha,PT,33.08,-16.33,62.02,77,20,8.05,few clouds
17,Visby,SE,57.64,18.30,53.82,87,20,6.91,few clouds
18,Mbuji-Mayi,CD,-6.15,23.60,66.38,58,6,3.42,clear sky
19,Rio Grande,BR,-32.03,-52.10,59.95,94,100,3.27,overcast clouds
20,Punta Arenas,CL,-53.15,-70.92,44.71,61,75,13.8,broken clouds
21,Saint-François,FR,46.42,3.91,57.67,100,100,3.44,overcast clouds
22,Banda Aceh,ID,5.56,95.32,83.75,70,81,5.68,broken clouds
23,Gubkinskiy,RU,64.43,76.50,38.97,48,99,3.44,overcast clouds
24,Bariloche,AR,-41.15,-71.31,40.75,75,75,39.12,moderate rain
25,Coyhaique,CL,-45.58,-72.07,39.15,93,100,3.44,moderate rain
26,East London,ZA,-33.02,27.91,61.0,79,9,12.19,clear sky
27,Verāval,IN,20.90,70.37,82.04,78,6,6.11,clear sky
28,Busselton,AU,-33.65,115.33,58.06,61,100,10.22,overcast clouds
29,Port Elizabeth,ZA,-33.92,25.57,55.38,82,7,6.13,clear sky
30,Henties Bay,NA,-22.12,14.28,72.73,32,100,16.33,overcast clouds
31,Narsaq,GL,60.92,-46.05,52.02,61,100,2.37,overcast clouds
32,Port Alfred,ZA,-33.59,26.89,53.19,90,8,11.41,clear sky
33,Chapais,CA,49.78,-74.85,51.58,93,86,1.66,overcast clouds
34,Ponta Delgada,PT,37.73,-25.67,70.5,100,100,5.75,light intensity drizzle
35,Friesoythe,DE,53.02,7.85,61.27,93,100,20.42,overcast clouds
36,Kiryat Gat,IL,31.61,34.76,74.39,100,0,1.61,clear sky
37,Ribeira Grande,PT,38.52,-28.70,65.16,94,81,11.72,broken clouds
38,Linhares,BR,-19.39,-40.07,61.3,83,18,3.51,few clouds
39,Río Gallegos,AR,-51.62,-69.22,42.91,56,60,26.66,broken clouds
40,Amboasary,MG,-25.03,46.38,65.1,90,43,4.05,scattered clouds
41,Kannad,IN,20.27,75.13,81.75,53,100,9.19,overcast clouds
42,Cidreira,BR,-30.18,-50.21,62.4,97,100,8.19,moderate rain
43,Siniscola,IT,40.57,9.69,72.95,65,0,7.34,clear sky
44,Monkey Bay,MW,-14.07,34.92,65.84,76,29,16.87,scattered clouds
45,Dikson,RU,73.51,80.55,30.94,91,100,12.1,overcast clouds
46,Iqaluit,CA,63.75,-68.51,42.53,75,0,12.66,clear sky
47,Cap Malheureux,MU,-19.98,57.61,69.48,78,53,1.99,broken clouds
48,Qaanaaq,GL,77.48,-69.36,25.81,78,81,5.55,broken clouds
49,Tocopilla,CL,-22.09,-70.20,63.75,71,91,5.5,overcast clouds
50,Upernavik,GL,72.79,-56.15,29.12,81,1,9.82,clear sky
51,Chernyakhovsk,RU,54.63,21.82,50.41,92,50,4.74,scattered clouds
52,Laguna,US,38.42,-121.42,81.75,58,0,9.22,clear sky
53,Praia da Vitória,PT,38.73,-27.07,64.76,94,20,9.22,few clouds
54,Arraial do Cabo,BR,-22.97,-42.03,69.06,66,0,17.34,clear sky
55,Walvis Bay,NA,-22.96,14.51,76.15,20,52,24.16,broken clouds
56,Rocha,UY,-34.48,-54.33,49.64,96,96,3.74,overcast clouds
57,Luanda,AO,-8.84,13.23,69.51,84,79,3.76,broken clouds
58,Hofn,IS,64.25,-15.21,52.77,72,100,7.67,overcast clouds
59,Souillac,MU,-20.52,57.52,71.98,83,40,2.3,light rain
60,Plettenberg Bay,ZA,-34.05,23.37,59.45,59,6,5.61,clear sky
61,Kalmunai,LK,7.42,81.82,79.65,79,100,8.05,overcast clouds
62,Mahébourg,MU,-20.41,57.70,71.89,83,40,2.3,scattered clouds
63,Hithadhoo,MV,-0.60,73.08,82.47,70,82,4.0,broken clouds
64,Bathsheba,BB,13.22,-59.52,81.21,89,40,16.11,scattered clouds
65,Mamlyutka,KZ,54.94,68.54,55.42,58,100,4.7,overcast clouds
66,Omboué,GA,-1.57,9.26,72.41,96,98,3.31,overcast clouds
67,Codrington,AU,-38.27,141.97,52.02,70,52,18.79,broken clouds
68,Tiznit Province,MA,29.58,-9.50,67.44,65,95,2.68,overcast clouds
69,Kasongo-Lunda,CD,-6.47,16.82,65.44,58,32,1.86,scattered clouds
70,Willowmore,ZA,-33.29,23.49,48.76,73,6,4.41,clear sky
71,Kantunilkín,MX,21.09,-87.45,74.59,95,96,3.38,overcast clouds
72,Saint George,US,37.10,-113.58,94.62,16,0,14.97,clear sky
73,Qaqortoq,GL,60.72,-46.03,43.3,66,100,4.59,overcast clouds
74,Nioro,GM,13.35,-15.75,80.2,70,29,8.99,scattered clouds
75,The Valley,AI,18.22,-63.06,82.26,80,43,16.84,scattered clouds
76,Vestmannaeyjar,IS,63.44,-20.27,48.33,88,100,7.4,overcast clouds
77,Hong Kong,HK,22.29,114.16,87.85,83,100,11.99,overcast clouds
78,Saint-Pierre,RE,-21.34,55.48,70.92,56,0,9.22,clear sky
79,Verkhnyaya Inta,RU,65.98,60.31,50.18,44,100,4.21,overcast clouds
80,Khanbari,NP,27.37,87.20,75.18,81,96,1.05,light rain
81,Santa Isabel Rio Negro,BR,-0.41,-65.02,71.47,95,60,0.11,broken clouds
82,Joensuu,FI,62.60,29.76,45.09,76,0,6.91,clear sky
83,Cape Town,ZA,-33.93,18.42,64.11,51,4,3.67,clear sky
84,Sinnamary,GF,5.38,-52.95,76.75,88,100,12.53,overcast clouds
85,Torbay,CA,47.67,-52.73,48.27,69,75,9.22,broken clouds
86,Touros,BR,-5.20,-35.46,75.38,84,28,11.81,light rain
87,Husavik,IS,66.04,-17.34,40.26,62,2,13.85,clear sky
88,City of San Pedro,PH,14.35,121.02,88.83,69,75,3.44,broken clouds
89,Groton,US,41.35,-72.08,62.91,75,0,3.44,clear sky
90,Samoylovka,RU,51.18,43.71,55.62,96,100,7.61,overcast clouds
91,Benjamín Aceval,PY,-24.97,-57.57,75.34,90,74,7.23,broken clouds
92,Ambilobe,MG,-13.20,49.05,65.46,84,14,3.53,few clouds
93,Lenger,KZ,42.18,69.88,67.44,43,2,3.83,clear sky
94,Chui,UY,-33.70,-53.46,55.42,94,100,3.18,overcast clouds
95,Ruwi,OM,23.60,58.55,87.49,39,0,1.25,clear sky
96,Salou,ES,41.08,1.14,70.54,93,75,2.3,broken clouds
97,Carutapera,BR,-1.20,-46.02,74.98,94,100,5.35,overcast clouds
98,George Town,MY,5.41,100.34,85.95,78,20,3.44,few clouds
99,Vallenar,CL,-28.57,-70.76,53.69,68,12,2.39,few clouds
100,Black River,JM,18.03,-77.85,78.82,88,29,8.55,scattered clouds
101,Derzhavīnsk,KZ,51.10,66.32,57.29,57,33,6.13,scattered clouds
102,San Cristobal,VE,7.77,-72.22,68.18,99,100,2.86,overcast clouds
103,Arrondissement de Saint-Denis,FR,48.92,2.33,59.11,90,0,5.75,clear sky
104,Coaraci,BR,-14.64,-39.55,61.02,84,51,3.33,broken clouds
105,Nizwá,OM,22.93,57.53,82.65,33,0,0.69,clear sky
106,Brae,GB,60.40,-1.35,48.7,88,39,2.71,scattered clouds
107,Rawson,AR,-43.30,-65.10,50.74,57,100,14.12,overcast clouds
108,Pangnirtung,CA,66.15,-65.71,33.13,81,0,3.85,clear sky
109,Sokolovo,RU,52.53,84.79,49.12,83,84,8.14,light rain
110,Sortland,NO,68.69,15.42,42.76,80,100,11.12,overcast clouds
111,San Javier,ES,37.81,-0.84,71.4,46,0,1.99,clear sky
112,Sédhiou,SN,12.71,-15.56,79.65,75,48,5.68,scattered clouds
113,Neckarsulm,DE,49.19,9.23,60.66,95,1,6.71,clear sky
114,Ubari,LY,26.59,12.78,77.22,24,0,7.16,clear sky
115,Belmonte,BR,-15.86,-38.88,71.4,72,88,10.74,overcast clouds
116,Polovinnoye,RU,54.79,65.99,52.11,74,100,1.5,overcast clouds
117,Nyimba,ZM,-14.56,30.81,60.44,54,4,12.17,clear sky
118,Rovenki,UA,48.08,39.38,56.39,92,9,11.07,clear sky
119,Ilulissat,GL,69.22,-51.10,41.02,36,0,16.11,clear sky
120,Bud,US,39.45,-86.18,73.42,61,82,3.06,broken clouds
121,Safi,MA,32.30,-9.24,65.79,83,1,13.87,clear sky
122,Lüderitz,NA,-26.65,15.16,69.4,27,0,18.63,clear sky
123,Caconda,AO,-13.73,15.07,50.04,51,72,8.99,broken clouds
124,Tiruchchendur,IN,8.48,78.12,86.29,76,100,11.07,overcast clouds
125,Valvedditturai,LK,9.82,80.17,81.48,84,98,20.38,overcast clouds
126,Sabha,LY,27.04,14.43,77.7,23,0,7.9,clear sky
127,Klaksvík,FO,62.23,-6.59,50.92,89,87,8.14,overcast clouds
128,Zárate,AR,-34.10,-59.03,46.83,96,49,1.01,scattered clouds
129,Ostrovnoy,RU,68.05,39.51,52.66,82,96,7.7,overcast clouds
130,Arrondissement de Thiers,FR,45.83,3.50,55.72,93,58,1.74,broken clouds
131,Lagoa,PT,39.05,-27.98,63.93,93,89,16.69,overcast clouds
132,Muhafazat Lahij,YE,13.17,44.58,82.85,49,41,2.91,scattered clouds
133,Campoverde,PE,-8.48,-74.81,74.89,77,98,1.14,overcast clouds
134,Serebryansk,KZ,49.69,83.29,47.39,80,84,2.08,broken clouds
135,Severnyy,RU,50.68,36.55,53.64,87,0,6.71,clear sky
136,Umluj,SA,25.02,37.27,82.0,61,7,7.05,clear sky
137,Vila do Maio,CV,15.13,-23.22,74.19,85,9,19.42,clear sky
138,Kruisfontein,ZA,-34.00,24.73,53.02,77,7,7.0,clear sky
139,Clyde River,CA,70.47,-68.59,30.43,89,15,4.0,few clouds
140,Lar,IN,26.20,83.97,91.29,53,100,11.07,overcast clouds
141,Beba,CU,22.44,-79.73,76.48,87,100,8.12,overcast clouds
